num,subset,SMILES,lambda,t12,logt12,solvent,E (J),E (eV),mol
422,5,c1cc(ccc1C(=O)C)N=Nc2ccc(c3ncccc23)O,401,,,,4.9571072319202E-19,3.0939829771105,c1cc(ccc1C(=O)C)N=Nc1ccc(c2ncccc12)O
284,1,c1(cc(N(CCO)CCC#N)ccc1N=Nc2cc(OC)ccc2)C,407,,,ethanol,4.88402948402948E-19,3.04837143445039,c1(cc(N(CCO)CCC#N)ccc1N=Nc1cc(OC)ccc1)C
455,1,c1cc(ccc1Cl)N=Nc2cc3c4N(CC3)CCCc4c2,444,,,ethanol,4.47702702702703E-19,2.79434048157953,c1cc(ccc1Cl)N=Nc1cc2c3N(CC2)CCCc3c1
124,3,Cc1noc(c1N=Nc2c(cccc2)Br)C,321,,,acetonitrile,6.19252336448598E-19,3.86506907732496,Cc1noc(c1N=Nc1c(cccc1)Br)C
224,2,O=S(=O)(OCCNc1c(c(C)c(N=Nc2c(C#N)cc([N+]([O-])=O)cc2)s1)C#N)C,584,,,ethanol,3.40376712328767E-19,2.12446433873512,O=S(=O)(OCCNc1sc(N=Nc2ccc([N+]([O-])=O)cc2C#N)c(C)c1C#N)C
217,2,O=S(=O)(C)OCCNc1sc(c(C)c1C(N)=O)N=Nc2c(cc(cc2C#N)[N+]([O-])=O)Br,480,,,ethanol,4.14125E-19,2.58476494546106,O=S(=O)(C)OCCNc1sc(c(C)c1C(N)=O)N=Nc1c(cc(cc1C#N)[N+]([O-])=O)Br
476,2,c1cc(ccc1N(C)C)N=Nc2c3c4c(C(=O)N(CCCCCCCCCC)C(=O)c4ccc3)cc2,510,,,ethanol,3.89764705882353E-19,2.43271994866924,c1cc(ccc1N(C)C)N=Nc1c2c3c(C(=O)N(CCCCCCCCCC)C(=O)c3ccc2)cc1
739,5,c1ccccc1-c2n(C)c3ccccc3c2N=Nc4nc([nH]n4)S,408,,,,4.87205882352941E-19,3.04089993583655,c1cc(ccc1)-c1c(c2c(cccc2)n1C)N=NC=1NC(NN=1)=S
747,5,c1ccccc1N=Nc2c(C)cccc2,323,,,,6.15417956656347E-19,3.84113676105669,c1ccccc1N=Nc1c(C)cccc1
472,2,c1cc(ccc1N(C)C)N=Nc2c(c(F)c(c(c2F)F)Nc3c(cccc3)O)F,438,,,ethanol,4.53835616438356E-19,2.83261911831349,c1cc(ccc1N(C)C)N=Nc1c(c(F)c(c(c1F)F)Nc1c(cccc1)O)F
29,1,C(CO)N(CCO)c1ccc(c(c1)C)N=Nc2ccc(cc2)F,417,,,ethanol,4.76690647482014E-19,2.97526900196957,C(CO)N(CCO)c1ccc(c(c1)C)N=Nc1ccc(cc1)F
515,2,c1cc(ccc1N=NC=2C(=C(C(=O)N)C(NC=2O)=O)C)C,429,,,ethanol,4.63356643356643E-19,2.89204469422217,c1cc(ccc1N=Nc1c(C)c(C(N)=O)c(nc1O)O)C
163,2,FC(F)(F)c1ccc(N=Nc2ccc(cc2)N(CC)CC)cc1,434,,,ethanol,4.58018433179724E-19,2.85872620696155,FC(F)(F)c1ccc(cc1)N=Nc1ccc(cc1)N(CC)CC
150,1,FC(F)(F)c1cc(Cl)ccc1N=Nc2ccc(cc2)N(C)C,442,,,ethanol,4.4972850678733E-19,2.80698455615681,FC(F)(F)c1cc(Cl)ccc1N=Nc1ccc(cc1)N(C)C
285,1,c1(cc(N(CCO)CCC#N)ccc1N=Nc2cc(ccc2)Cl)C,410,,,ethanol,4.84829268292683E-19,3.02606627761295,c1(cc(N(CCO)CCC#N)ccc1N=Nc1cc(ccc1)Cl)C
700,5,c1cc(ccc1[N+]([O-])=O)N=Nc2ccc(cc2)[N+]([O-])=O,335,,,,5.93373134328358E-19,3.70354380245167,c1cc(ccc1[N+]([O-])=O)N=Nc1ccc(cc1)[N+]([O-])=O
209,2,O=C1c2c3c(c(N=Nc4c(O)ccc5ccccc45)cc2)cccc3C(=O)N1CCCCCCCCCC,515,,,ethanol,3.85980582524272E-19,2.40910130839089,O=C1c2c3c(c(N=Nc4c(O)ccc5ccccc45)cc2)cccc3C(=O)N1CCCCCCCCCC
307,1,c1(ccccc1N=Nc2ccc(cc2C)NCCC#N)C,400,,,ethanol,4.9695E-19,3.10171793455328,c1(ccccc1N=Nc1ccc(cc1C)NCCC#N)C
